time,open,high,low,close,volume,rsi,stoch_k,stoch_d,buy,sell
2026-05-01 14:00:00,2280.11,2286.75,2278.28,2283.26,3488.1717,61.383503761440025,,,0,0
2026-05-01 15:00:00,2283.26,2286.66,2272.09,2277.45,8129.9831,56.79395669130297,,,0,0
2026-05-01 16:00:00,2277.46,2281.1,2273.14,2279.48,6175.1967,57.97622965275641,,,0,0
2026-05-01 17:00:00,2279.5,2288.5,2277.44,2286.92,5887.1033,62.07250380637653,,,0,0
2026-05-01 18:00:00,2286.93,2287.1,2279.87,2282.07,3605.4989,58.09692271440562,,,0,0
2026-05-01 19:00:00,2282.08,2285.88,2277.06,2282.53,3877.8737,58.36926570381972,,,0,0
2026-05-01 20:00:00,2282.53,2293,2281.71,2286.45,5323.843,60.712611410611615,,,0,0
2026-05-01 21:00:00,2286.46,2311.49,2284.15,2301.36,21967.8914,68.07377021807389,,,0,0
2026-05-01 22:00:00,2301.37,2324,2301.37,2318.22,20286.2201,74.0050301052603,,,0,0
2026-05-01 23:00:00,2318.22,2325.28,2301.42,2308.04,20163.371,66.02863711886852,,,0,0
2026-05-02 00:00:00,2308.03,2316.74,2298.77,2307.64,12397.242,65.72886012461319,,,0,0
2026-05-02 01:00:00,2307.64,2314.21,2298.17,2301.94,14505.2002,61.44761083375232,,,0,0
2026-05-02 02:00:00,2301.95,2313.53,2298.71,2311.76,5191.8702,65.60423454286126,,,0,0
2026-05-02 03:00:00,2311.76,2312.5,2303.45,2304.76,3781.9625,60.58939262112408,,,0,0
2026-05-02 04:00:00,2304.77,2307.84,2302.2,2304.85,2921.4709,60.631061156622415,,,0,0
2026-05-02 05:00:00,2304.85,2305.86,2278.98,2285.19,9002.0365,48.554344176622514,,,0,0
2026-05-02 06:00:00,2285.18,2294.25,2283.58,2292.68,6643.5401,52.44094487762788,,,0,0
2026-05-02 07:00:00,2292.67,2299.35,2291,2293.5,3376.5372,52.86081982266346,,,0,0
2026-05-02 08:00:00,2293.5,2296.23,2289,2295.63,2314.3336,53.996939041480545,,,0,0
2026-05-02 09:00:00,2295.63,2299.3,2292.91,2297.6,2566.8116,55.075382972867956,,,0,0
2026-05-02 10:00:00,2297.59,2300.98,2295.88,2298.63,2462.3989,55.66065237792278,,,0,0
2026-05-02 11:00:00,2298.62,2308.34,2295.43,2303.31,3153.6124,58.31779827612244,,,0,0
2026-05-02 12:00:00,2303.31,2308.34,2301.01,2304.44,2768.5377,58.95735448974357,,,0,0
2026-05-02 13:00:00,2304.43,2304.91,2299.59,2301.26,2155.2825,56.33760472584608,,,0,0
2026-05-02 14:00:00,2301.26,2301.52,2296.62,2299.47,2997.2267,54.85990077584975,,,0,0
